CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,Gender,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,DEFAULT
No,29,Critical account,Repairs,3512,100 - 500,> 7,4,Male,No,1,Unknown/None,73,Bank,Own,2,Unemployed,2,1,0,1
< 0,29,Critical account,Vacation,17972,100 - 500,1 - 4,2,Female,Guarantor,3,Real estate,32,Stores,Rent,1,Highly skilled,2,0,0,1
No,50,Delay in paying,Furniture/equipment,5246,Unknown/None,< 1,2,Male,No,4,Car or other,74,No,Rent,2,Unskilled,2,1,0,1
No,35,Existing paid,Domestic appliances,12076,Unknown/None,1 - 4,3,Female,Co-applicant,3,Real estate,52,Bank,Rent,1,Unemployed,2,0,0,1
0 - 200,13,Existing paid,Car (new),3077,< 100,Unemployed,1,Male,Co-applicant,4,Unknown/None,41,No,Rent,2,Skilled,2,0,0,1
No,19,No credits/all paid,Business,14461,100 - 500,4 - 7,3,Female,No,3,Unknown/None,50,Stores,Rent,4,Unemployed,1,0,0,0
0 - 200,20,Delay in paying,Education,5482,100 - 500,< 1,2,Female,Co-applicant,2,Real estate,33,Bank,Rent,4,Unskilled,2,1,0,1
No,26,Critical account,Business,2467,100 - 500,> 7,3,Female,Guarantor,4,Car or other,25,Bank,For free,1,Unskilled,1,0,1,0
> 200,29,Critical account,Car (new),14482,Unknown/None,Unemployed,2,Male,Guarantor,3,Car or other,46,Bank,For free,2,Highly skilled,1,1,1,1
> 200,10,All paid,Others,14276,> 1000,< 1,3,Male,Co-applicant,1,Unknown/None,40,Bank,Rent,4,Highly skilled,1,0,0,0
> 200,17,All paid,Retraining,14128,500 - 1000,Unemployed,3,Male,Guarantor,1,Car or other,62,Stores,For free,4,Skilled,1,1,1,1
No,10,Critical account,Vacation,7087,Unknown/None,> 7,4,Male,Guarantor,3,Unknown/None,48,Bank,Rent,2,Skilled,2,0,0,1
0 - 200,12,Critical account,Education,7281,100 - 500,< 1,2,Male,No,2,Car or other,57,No,For free,2,Unskilled,2,0,1,0
0 - 200,51,Delay in paying,Business,15056,Unknown/None,> 7,3,Female,Guarantor,4,Unknown/None,66,Bank,Own,4,Unskilled,1,1,0,1
No,62,Existing paid,Education,3966,< 100,1 - 4,1,Male,No,3,Savings agreement/life insurance,71,Stores,For free,2,Unskilled,1,1,0,1
> 200,42,All paid,Domestic appliances,3664,100 - 500,> 7,3,Female,Co-applicant,1,Car or other,72,Bank,For free,3,Skilled,1,0,1,1
> 200,21,Existing paid,Domestic appliances,820,< 100,1 - 4,3,Female,No,4,Car or other,31,Stores,For free,2,Unskilled,2,0,0,0
0 - 200,62,Delay in paying,Others,13538,100 - 500,< 1,1,Male,Co-applicant,1,Car or other,70,Stores,Own,4,Skilled,1,1,1,1
> 200,20,Critical account,Domestic appliances,1167,Unknown/None,1 - 4,2,Female,Co-applicant,1,Real estate,47,No,Rent,4,Unskilled,1,0,0,1
< 0,17,Existing paid,Car (new),10316,> 1000,< 1,4,Male,Co-applicant,3,Car or other,70,Bank,For free,1,Unemployed,2,1,0,1
0 - 200,34,Critical account,Vacation,7232,500 - 1000,< 1,4,Male,Co-applicant,1,Real estate,56,Bank,For free,3,Unemployed,1,1,0,1
> 200,27,Critical account,Others,6586,< 100,4 - 7,4,Male,Co-applicant,4,Real estate,44,Bank,Own,4,Unskilled,2,0,0,1
0 - 200,63,No credits/all paid,Car (new),17249,Unknown/None,< 1,1,Female,No,2,Unknown/None,64,No,Rent,3,Unemployed,2,1,1,1
< 0,48,Existing paid,Radio/television,10191,> 1000,1 - 4,3,Male,Co-applicant,3,Real estate,33,No,For free,2,Skilled,1,0,0,1
0 - 200,6,Existing paid,Retraining,12630,Unknown/None,4 - 7,2,Male,Guarantor,4,Real estate,68,Stores,Own,4,Highly skilled,1,1,1,1
0 - 200,40,Critical account,Retraining,11917,< 100,4 - 7,3,Male,Guarantor,3,Savings agreement/life insurance,23,Stores,Rent,1,Unemployed,1,1,1,1
0 - 200,46,Delay in paying,Domestic appliances,4779,500 - 1000,< 1,4,Female,Co-applicant,1,Car or other,72,Stores,Rent,4,Highly skilled,2,0,0,1
0 - 200,43,No credits/all paid,Radio/television,17769,Unknown/None,> 7,3,Male,Guarantor,1,Real estate,50,No,For free,1,Unemployed,2,1,0,1
< 0,58,Critical account,Furniture/equipment,12442,100 - 500,> 7,1,Female,No,4,Car or other,61,No,For free,3,Skilled,2,0,1,1
No,42,All paid,Furniture/equipment,8816,> 1000,4 - 7,1,Female,No,4,Real estate,35,No,For free,1,Unemployed,1,1,1,1
0 - 200,18,All paid,Domestic appliances,7476,Unknown/None,< 1,2,Male,Co-applicant,2,Unknown/None,33,Stores,For free,2,Unemployed,1,1,0,0
0 - 200,7,No credits/all paid,Business,5412,> 1000,> 7,2,Female,Co-applicant,4,Savings agreement/life insurance,29,No,Own,2,Unskilled,1,1,1,0
> 200,28,Delay in paying,Car (new),16840,100 - 500,< 1,4,Female,Co-applicant,4,Real estate,37,Stores,Own,2,Highly skilled,1,1,1,0
0 - 200,16,Critical account,Domestic appliances,1569,500 - 1000,< 1,2,Male,Guarantor,3,Car or other,62,Stores,For free,4,Highly skilled,1,0,1,1
> 200,36,Existing paid,Repairs,1391,500 - 1000,4 - 7,3,Male,Guarantor,1,Unknown/None,57,Bank,Rent,2,Skilled,1,1,0,1
No,19,No credits/all paid,Education,4877,100 - 500,4 - 7,1,Male,No,4,Car or other,46,Bank,For free,2,Skilled,2,1,1,1
< 0,45,Delay in paying,Retraining,14751,> 1000,Unemployed,1,Female,Guarantor,2,Unknown/None,47,Bank,Rent,4,Highly skilled,2,1,1,1
< 0,69,Existing paid,Furniture/equipment,2940,Unknown/None,> 7,1,Male,No,4,Savings agreement/life insurance,43,Stores,Rent,3,Unskilled,2,0,1,1
No,58,All paid,Car (used),7573,100 - 500,> 7,2,Female,Guarantor,1,Unknown/None,39,Bank,Rent,2,Unskilled,1,0,1,0
< 0,45,All paid,Furniture/equipment,3505,< 100,> 7,1,Female,No,4,Car or other,50,Bank,Own,2,Highly skilled,2,0,0,1
No,37,Existing paid,Retraining,5463,> 1000,1 - 4,1,Female,Co-applicant,3,Car or other,70,Bank,Rent,4,Unemployed,2,0,0,0
No,33,No credits/all paid,Education,4358,500 - 1000,< 1,1,Female,Guarantor,1,Real estate,56,No,Rent,3,Highly skilled,2,1,1,0
No,16,All paid,Retraining,10052,100 - 500,4 - 7,4,Female,No,4,Unknown/None,64,Stores,Own,3,Unemployed,1,1,1,0
< 0,16,Critical account,Car (used),11663,500 - 1000,> 7,4,Male,Guarantor,3,Car or other,46,Bank,Rent,3,Highly skilled,1,1,1,1
> 200,21,Existing paid,Domestic appliances,15245,> 1000,Unemployed,2,Male,Co-applicant,1,Real estate,39,No,Rent,4,Unemployed,2,0,0,1
No,35,Existing paid,Radio/television,12833,500 - 1000,> 7,1,Female,No,4,Savings agreement/life insurance,62,No,For free,1,Unskilled,1,0,0,0
0 - 200,42,All paid,Car (used),5271,100 - 500,< 1,2,Female,Guarantor,3,Car or other,30,No,Rent,1,Highly skilled,1,1,1,0
< 0,49,No credits/all paid,Retraining,6832,> 1000,< 1,1,Male,Guarantor,2,Real estate,26,Bank,Rent,2,Skilled,1,1,1,1
No,32,Critical account,Retraining,13705,< 100,4 - 7,1,Male,Co-applicant,3,Car or other,41,No,Rent,2,Unemployed,1,1,0,0
No,65,No credits/all paid,Repairs,13367,100 - 500,1 - 4,1,Female,Co-applicant,2,Unknown/None,32,Stores,Rent,2,Unskilled,2,0,1,1
0 - 200,65,Delay in paying,Others,17609,Unknown/None,4 - 7,2,Female,No,4,Real estate,53,No,Rent,1,Skilled,1,1,1,1
> 200,60,Delay in paying,Repairs,1512,100 - 500,> 7,2,Male,Guarantor,3,Unknown/None,30,No,Own,4,Unskilled,2,1,0,1
> 200,19,All paid,Vacation,7632,> 1000,Unemployed,1,Male,Guarantor,2,Savings agreement/life insurance,44,No,Rent,2,Unemployed,2,0,0,1
> 200,59,All paid,Repairs,3577,100 - 500,4 - 7,3,Female,Co-applicant,1,Unknown/None,61,No,Rent,4,Highly skilled,1,0,0,1
No,13,All paid,Car (new),10270,< 100,1 - 4,2,Male,Co-applicant,3,Real estate,54,Stores,Own,2,Unskilled,1,1,0,0
No,33,Delay in paying,Radio/television,17891,< 100,4 - 7,4,Male,No,4,Car or other,24,Bank,Own,4,Highly skilled,1,0,0,0
No,28,No credits/all paid,Education,17098,Unknown/None,< 1,2,Female,Guarantor,1,Real estate,25,Stores,Rent,4,Highly skilled,2,1,1,0
< 0,8,No credits/all paid,Car (used),14312,500 - 1000,> 7,1,Female,Guarantor,2,Unknown/None,54,Stores,Rent,1,Unskilled,2,1,0,1
0 - 200,68,All paid,Retraining,7024,> 1000,> 7,3,Female,No,3,Unknown/None,58,Bank,Rent,4,Unskilled,2,1,0,1
No,52,Critical account,Vacation,15410,> 1000,> 7,1,Male,No,3,Car or other,31,No,For free,3,Unskilled,2,1,0,1
0 - 200,6,No credits/all paid,Vacation,1480,500 - 1000,> 7,4,Female,Co-applicant,4,Savings agreement/life insurance,29,Bank,For free,1,Highly skilled,2,0,0,0
0 - 200,48,Delay in paying,Education,9326,< 100,> 7,2,Male,Co-applicant,1,Real estate,53,Bank,Rent,2,Skilled,2,0,0,1
> 200,17,Existing paid,Radio/television,4055,< 100,> 7,2,Female,No,3,Car or other,69,Stores,Own,1,Unemployed,2,0,0,0
< 0,33,Existing paid,Car (used),14965,100 - 500,Unemployed,1,Female,No,3,Car or other,57,Bank,Rent,3,Skilled,1,1,1,1
No,71,Existing paid,Furniture/equipment,6000,Unknown/None,1 - 4,1,Male,Guarantor,1,Car or other,34,No,Own,3,Highly skilled,2,1,0,0
> 200,21,Critical account,Repairs,15877,Unknown/None,> 7,4,Male,No,3,Real estate,57,Stores,Own,4,Unskilled,2,1,1,1
> 200,65,All paid,Domestic appliances,13482,Unknown/None,1 - 4,3,Female,No,1,Real estate,70,No,Own,3,Unskilled,2,0,1,1
No,40,Delay in paying,Vacation,3385,100 - 500,> 7,4,Female,Guarantor,1,Real estate,46,Stores,Rent,3,Unemployed,2,0,0,0
0 - 200,28,Critical account,Repairs,7203,Unknown/None,4 - 7,3,Male,No,1,Savings agreement/life insurance,44,No,Rent,3,Unemployed,1,1,0,1
> 200,51,Delay in paying,Repairs,1796,500 - 1000,> 7,2,Female,Co-applicant,4,Car or other,18,Bank,Own,3,Skilled,2,0,1,1
0 - 200,68,Delay in paying,Car (new),15707,100 - 500,< 1,3,Male,Co-applicant,1,Unknown/None,69,Bank,For free,2,Skilled,2,0,1,1
< 0,56,All paid,Radio/television,17728,500 - 1000,Unemployed,3,Male,Guarantor,1,Unknown/None,51,Bank,For free,2,Unemployed,1,0,1,1
0 - 200,18,Existing paid,Domestic appliances,2661,100 - 500,4 - 7,2,Female,No,2,Car or other,21,No,For free,1,Highly skilled,1,0,0,1
< 0,52,All paid,Others,14363,Unknown/None,4 - 7,2,Male,Co-applicant,2,Unknown/None,41,Stores,Own,4,Skilled,2,1,1,1
0 - 200,71,Critical account,Furniture/equipment,4395,500 - 1000,< 1,2,Male,Co-applicant,4,Savings agreement/life insurance,38,Stores,Rent,2,Unskilled,2,0,0,1
> 200,15,Critical account,Retraining,3025,500 - 1000,> 7,4,Male,Co-applicant,1,Savings agreement/life insurance,50,Stores,Own,3,Unskilled,2,1,0,1
> 200,62,Critical account,Car (new),13443,500 - 1000,Unemployed,2,Female,Co-applicant,2,Real estate,24,Bank,For free,4,Highly skilled,2,0,1,1
< 0,40,All paid,Repairs,13101,100 - 500,4 - 7,1,Male,No,2,Real estate,18,No,Rent,2,Unemployed,2,1,0,1
No,64,Delay in paying,Repairs,13320,> 1000,Unemployed,2,Female,No,3,Real estate,58,Stores,Own,1,Skilled,2,1,0,1
< 0,46,Delay in paying,Business,4220,Unknown/None,4 - 7,2,Female,No,1,Real estate,20,No,Own,3,Unskilled,1,0,1,1
< 0,42,No credits/all paid,Domestic appliances,14369,500 - 1000,> 7,2,Female,No,2,Real estate,61,Stores,For free,4,Unemployed,1,1,1,1
0 - 200,59,Critical account,Domestic appliances,4581,> 1000,4 - 7,3,Male,Co-applicant,4,Unknown/None,68,Bank,Own,2,Skilled,2,1,0,1
0 - 200,66,Delay in paying,Business,10545,Unknown/None,4 - 7,4,Male,Guarantor,3,Unknown/None,32,No,Rent,4,Highly skilled,2,0,1,1
< 0,49,No credits/all paid,Domestic appliances,2192,Unknown/None,1 - 4,2,Female,Guarantor,3,Real estate,48,Stores,For free,2,Unskilled,2,1,0,1
> 200,14,Delay in paying,Repairs,16825,500 - 1000,> 7,4,Female,Co-applicant,1,Savings agreement/life insurance,71,Stores,For free,1,Highly skilled,1,0,1,1
0 - 200,65,Critical account,Vacation,13654,500 - 1000,< 1,1,Male,Co-applicant,1,Unknown/None,33,Stores,Rent,3,Highly skilled,2,1,1,0
No,28,Existing paid,Car (used),1111,100 - 500,< 1,1,Female,Guarantor,3,Savings agreement/life insurance,27,Stores,For free,1,Highly skilled,1,0,1,1
0 - 200,55,Critical account,Repairs,9525,> 1000,> 7,2,Female,Guarantor,4,Savings agreement/life insurance,71,Bank,Own,3,Skilled,1,0,1,1
0 - 200,7,All paid,Car (new),17283,> 1000,< 1,1,Male,Co-applicant,1,Car or other,46,Stores,Own,3,Highly skilled,2,0,0,1
No,62,Delay in paying,Radio/television,4384,500 - 1000,> 7,4,Female,Co-applicant,1,Car or other,23,Stores,For free,4,Skilled,1,0,1,1
< 0,23,Delay in paying,Business,12053,Unknown/None,< 1,3,Male,No,3,Real estate,46,Bank,Rent,2,Skilled,2,0,0,1
No,66,All paid,Furniture/equipment,15658,500 - 1000,1 - 4,2,Male,No,3,Savings agreement/life insurance,34,Stores,Own,1,Highly skilled,1,1,0,1
< 0,57,All paid,Retraining,17670,Unknown/None,< 1,1,Female,Guarantor,1,Unknown/None,70,No,Rent,1,Highly skilled,2,1,1,1
< 0,60,Existing paid,Furniture/equipment,16601,Unknown/None,4 - 7,4,Male,Co-applicant,2,Car or other,39,No,Own,1,Unemployed,2,0,1,1
< 0,44,Delay in paying,Repairs,4381,500 - 1000,> 7,4,Male,Guarantor,1,Car or other,41,Stores,Own,4,Unskilled,1,1,1,1
No,6,Delay in paying,Car (new),12307,< 100,Unemployed,1,Male,No,2,Savings agreement/life insurance,34,Bank,For free,4,Unemployed,1,1,1,0
< 0,9,Existing paid,Repairs,11599,> 1000,Unemployed,4,Female,No,3,Car or other,38,Bank,For free,4,Unskilled,1,1,1,0
> 200,8,No credits/all paid,Radio/television,11736,Unknown/None,> 7,4,Female,Guarantor,2,Car or other,68,Bank,Rent,3,Unskilled,2,0,0,1
No,8,Existing paid,Vacation,5707,Unknown/None,1 - 4,2,Female,No,4,Unknown/None,67,Stores,For free,1,Unemployed,1,0,1,1
> 200,57,Critical account,Others,6329,< 100,< 1,4,Male,Co-applicant,3,Savings agreement/life insurance,28,Stores,Own,3,Unemployed,1,1,0,1
< 0,50,Delay in paying,Retraining,12703,100 - 500,1 - 4,1,Male,Guarantor,1,Car or other,73,No,Own,1,Unskilled,2,0,0,1
0 - 200,52,All paid,Radio/television,12408,< 100,Unemployed,2,Female,Co-applicant,1,Savings agreement/life insurance,24,Bank,Rent,1,Unskilled,2,0,0,1
< 0,12,Critical account,Business,15985,< 100,> 7,1,Female,Co-applicant,3,Car or other,59,Stores,Rent,2,Unskilled,1,1,0,1
> 200,23,Delay in paying,Business,16080,Unknown/None,> 7,3,Male,No,3,Unknown/None,56,Stores,Own,1,Skilled,1,0,1,1
> 200,64,Existing paid,Repairs,15375,> 1000,1 - 4,1,Female,Co-applicant,4,Savings agreement/life insurance,22,Stores,For free,4,Unskilled,1,0,1,1
No,38,Critical account,Car (new),12155,< 100,1 - 4,1,Female,Guarantor,3,Car or other,61,Bank,For free,4,Highly skilled,2,0,0,0
0 - 200,53,Delay in paying,Radio/television,12548,100 - 500,< 1,2,Female,Co-applicant,1,Unknown/None,65,Bank,Rent,4,Highly skilled,2,0,0,1
No,65,No credits/all paid,Education,2261,500 - 1000,4 - 7,4,Female,Co-applicant,4,Car or other,74,No,Rent,2,Highly skilled,1,0,1,0
> 200,20,No credits/all paid,Car (new),3623,< 100,4 - 7,1,Female,Co-applicant,1,Savings agreement/life insurance,38,Bank,Own,2,Unemployed,2,1,0,1
< 0,6,All paid,Vacation,10585,< 100,< 1,2,Male,Co-applicant,2,Car or other,35,Stores,Own,3,Unemployed,1,0,1,1
0 - 200,35,Delay in paying,Business,10942,100 - 500,4 - 7,3,Female,Co-applicant,3,Savings agreement/life insurance,52,No,Rent,1,Unemployed,1,0,0,1
< 0,16,No credits/all paid,Others,14777,> 1000,Unemployed,2,Female,No,2,Savings agreement/life insurance,37,Bank,Own,1,Unskilled,2,1,1,0
< 0,71,Existing paid,Repairs,13023,< 100,4 - 7,2,Male,Guarantor,1,Car or other,32,Bank,Rent,4,Highly skilled,1,1,0,1
0 - 200,17,Delay in paying,Domestic appliances,1539,< 100,< 1,4,Male,No,2,Unknown/None,22,Bank,Rent,4,Unskilled,1,0,0,1
No,14,Existing paid,Business,1697,> 1000,4 - 7,1,Male,Guarantor,2,Real estate,30,Bank,For free,4,Skilled,2,1,0,0
< 0,59,Existing paid,Others,14389,100 - 500,> 7,3,Male,Guarantor,1,Unknown/None,68,Stores,Rent,4,Skilled,1,0,1,1
> 200,70,No credits/all paid,Retraining,14007,< 100,1 - 4,2,Female,Guarantor,1,Unknown/None,29,Bank,Own,4,Unemployed,1,1,1,1
< 0,32,Delay in paying,Car (used),5712,> 1000,Unemployed,1,Female,Guarantor,3,Car or other,72,Stores,For free,4,Skilled,2,0,1,1
0 - 200,12,Critical account,Domestic appliances,7907,< 100,> 7,1,Female,Guarantor,2,Unknown/None,38,Stores,For free,1,Highly skilled,1,1,0,1
0 - 200,70,No credits/all paid,Repairs,5170,500 - 1000,> 7,2,Female,Co-applicant,4,Unknown/None,54,Stores,Own,2,Skilled,1,0,0,1
0 - 200,28,No credits/all paid,Education,10595,Unknown/None,< 1,1,Male,No,4,Real estate,23,No,Own,4,Unemployed,2,1,0,0
No,45,Delay in paying,Domestic appliances,8667,500 - 1000,1 - 4,2,Male,No,1,Unknown/None,24,Stores,Own,1,Unskilled,2,0,0,0
< 0,12,Delay in paying,Retraining,17410,< 100,1 - 4,2,Female,Co-applicant,1,Real estate,43,Bank,Rent,4,Skilled,2,0,0,1
No,43,Existing paid,Car (new),5458,100 - 500,Unemployed,2,Female,Guarantor,2,Car or other,59,No,For free,3,Highly skilled,1,0,0,1
No,28,Delay in paying,Education,937,Unknown/None,< 1,3,Female,No,1,Real estate,65,Bank,Rent,3,Highly skilled,2,1,1,0
0 - 200,8,Existing paid,Business,17163,500 - 1000,Unemployed,2,Female,Co-applicant,4,Savings agreement/life insurance,25,Stores,Rent,1,Highly skilled,1,1,1,0
0 - 200,14,No credits/all paid,Education,13473,> 1000,4 - 7,4,Male,Co-applicant,3,Savings agreement/life insurance,26,Bank,Rent,2,Unskilled,2,0,1,1
No,62,All paid,Radio/television,8330,100 - 500,> 7,1,Female,No,3,Real estate,44,No,Rent,3,Highly skilled,1,0,0,1
< 0,41,Critical account,Retraining,9736,500 - 1000,Unemployed,3,Male,No,2,Savings agreement/life insurance,21,No,For free,3,Unemployed,1,0,1,1
> 200,8,No credits/all paid,Others,6344,> 1000,> 7,1,Male,Guarantor,3,Car or other,38,Bank,For free,2,Unemployed,2,0,0,0
No,51,Delay in paying,Domestic appliances,7942,< 100,< 1,3,Male,Guarantor,1,Savings agreement/life insurance,48,Bank,Rent,3,Highly skilled,1,1,0,1
< 0,21,Critical account,Radio/television,11338,> 1000,4 - 7,4,Male,No,1,Real estate,38,Bank,Own,4,Skilled,1,1,1,1
0 - 200,40,All paid,Education,3353,500 - 1000,< 1,3,Female,Guarantor,1,Car or other,57,No,For free,2,Highly skilled,2,1,0,1
0 - 200,63,All paid,Radio/television,2690,500 - 1000,4 - 7,3,Female,Co-applicant,1,Savings agreement/life insurance,42,Stores,Rent,3,Unemployed,1,0,0,1
< 0,51,Existing paid,Furniture/equipment,7374,< 100,4 - 7,3,Female,Guarantor,2,Car or other,56,Bank,Own,2,Unemployed,1,0,0,1
> 200,31,Critical account,Retraining,17478,> 1000,> 7,1,Female,Guarantor,3,Real estate,32,Stores,Own,4,Unemployed,1,1,0,1
0 - 200,43,Existing paid,Others,14281,> 1000,< 1,2,Male,Co-applicant,4,Savings agreement/life insurance,70,No,Rent,3,Skilled,2,1,0,0
0 - 200,48,No credits/all paid,Vacation,14786,< 100,< 1,1,Male,Guarantor,3,Car or other,52,Bank,For free,1,Skilled,2,1,1,1
0 - 200,65,Critical account,Car (new),696,> 1000,Unemployed,2,Male,Co-applicant,1,Car or other,66,Bank,Own,3,Skilled,2,1,1,1
< 0,61,No credits/all paid,Education,4165,< 100,< 1,1,Female,Guarantor,4,Savings agreement/life insurance,60,No,For free,3,Unemployed,2,0,0,1
No,70,Existing paid,Retraining,16037,100 - 500,Unemployed,4,Male,No,2,Car or other,58,Bank,For free,4,Unskilled,2,0,0,1
0 - 200,59,Critical account,Vacation,17868,500 - 1000,1 - 4,4,Male,Guarantor,1,Car or other,54,Stores,Own,1,Highly skilled,2,0,1,1
No,43,Existing paid,Vacation,6837,100 - 500,1 - 4,3,Male,No,1,Real estate,74,No,Rent,1,Highly skilled,2,1,1,1
> 200,43,Critical account,Repairs,476,Unknown/None,1 - 4,4,Male,No,4,Real estate,59,No,Own,1,Unemployed,2,0,1,1
0 - 200,36,Existing paid,Others,11401,Unknown/None,< 1,3,Female,No,2,Real estate,64,Bank,Own,4,Skilled,1,1,0,0
0 - 200,9,All paid,Radio/television,5808,Unknown/None,< 1,2,Male,No,4,Real estate,45,No,For free,4,Unskilled,1,1,1,1
> 200,22,Existing paid,Vacation,12221,< 100,Unemployed,4,Male,No,2,Real estate,31,Bank,Rent,4,Unskilled,1,1,1,0
0 - 200,43,All paid,Furniture/equipment,436,> 1000,4 - 7,2,Female,Co-applicant,1,Real estate,21,Bank,For free,4,Skilled,1,1,0,1
No,62,Existing paid,Retraining,14930,100 - 500,Unemployed,1,Female,Co-applicant,3,Savings agreement/life insurance,70,No,Own,4,Highly skilled,2,1,0,1
< 0,62,Critical account,Car (used),14809,100 - 500,1 - 4,2,Female,Co-applicant,1,Real estate,37,Bank,Rent,1,Highly skilled,1,0,1,1
No,51,Critical account,Car (used),11319,100 - 500,Unemployed,1,Male,No,3,Car or other,51,Stores,Rent,2,Unskilled,1,0,0,1
< 0,44,Critical account,Education,2785,100 - 500,4 - 7,2,Male,Guarantor,3,Savings agreement/life insurance,29,Stores,Rent,4,Unskilled,1,0,1,1
< 0,16,Delay in paying,Business,2182,Unknown/None,< 1,2,Male,Co-applicant,2,Car or other,50,Bank,Rent,2,Skilled,1,1,1,1
No,48,No credits/all paid,Radio/television,2282,100 - 500,Unemployed,4,Male,Guarantor,4,Real estate,41,Stores,Rent,3,Highly skilled,1,0,0,1
No,56,Critical account,Business,1502,> 1000,1 - 4,2,Female,Guarantor,2,Real estate,37,Bank,Own,3,Unskilled,2,1,0,1
No,45,All paid,Vacation,5759,Unknown/None,1 - 4,4,Male,No,1,Car or other,22,Stores,Own,4,Highly skilled,2,0,1,0
No,66,Critical account,Retraining,5324,100 - 500,< 1,4,Male,No,4,Car or other,55,No,Own,3,Unskilled,1,1,0,1
> 200,30,Delay in paying,Education,14150,< 100,Unemployed,3,Female,No,3,Car or other,47,Bank,For free,2,Skilled,1,1,0,1
0 - 200,41,All paid,Domestic appliances,14773,500 - 1000,4 - 7,3,Female,Co-applicant,3,Unknown/None,41,Bank,Rent,3,Highly skilled,1,0,0,1
< 0,63,Delay in paying,Vacation,2131,500 - 1000,< 1,1,Female,No,1,Unknown/None,60,Bank,Rent,3,Unskilled,1,1,0,1
No,10,All paid,Radio/television,519,500 - 1000,Unemployed,2,Male,Co-applicant,4,Unknown/None,57,Bank,Own,2,Unskilled,2,0,0,0
No,8,Existing paid,Car (used),1880,Unknown/None,> 7,1,Male,Co-applicant,1,Unknown/None,24,Bank,Rent,3,Unskilled,1,0,0,1
No,48,No credits/all paid,Others,13633,100 - 500,1 - 4,2,Male,Co-applicant,1,Savings agreement/life insurance,53,Bank,For free,4,Unskilled,2,0,0,1
> 200,61,No credits/all paid,Repairs,16402,Unknown/None,4 - 7,3,Male,Co-applicant,2,Real estate,55,No,Rent,2,Skilled,1,1,1,0
No,34,Delay in paying,Retraining,11334,> 1000,4 - 7,3,Male,No,1,Car or other,33,No,Rent,2,Highly skilled,2,1,0,1
No,26,No credits/all paid,Car (new),1945,< 100,4 - 7,2,Female,Co-applicant,4,Real estate,69,Stores,For free,1,Highly skilled,2,1,1,1
No,45,Delay in paying,Others,15071,< 100,1 - 4,2,Female,No,1,Car or other,32,Bank,Own,1,Unemployed,2,1,0,1
0 - 200,13,Delay in paying,Business,3512,500 - 1000,Unemployed,3,Male,No,4,Real estate,63,Stores,Own,2,Highly skilled,1,0,1,0
> 200,35,Delay in paying,Education,1695,500 - 1000,< 1,3,Male,Co-applicant,3,Savings agreement/life insurance,40,Stores,Rent,2,Unemployed,1,1,0,1
No,56,No credits/all paid,Business,16686,500 - 1000,Unemployed,1,Male,No,1,Unknown/None,29,No,For free,1,Unskilled,2,0,1,1
< 0,33,Delay in paying,Retraining,10199,100 - 500,< 1,3,Male,Guarantor,4,Real estate,46,Stores,Own,4,Skilled,1,0,0,0
< 0,42,No credits/all paid,Business,7151,> 1000,4 - 7,2,Male,No,3,Car or other,61,No,Own,3,Skilled,1,1,1,1
< 0,34,Delay in paying,Retraining,969,> 1000,Unemployed,1,Female,No,4,Real estate,65,Stores,Own,3,Unskilled,2,1,0,1
> 200,5,Critical account,Business,8847,> 1000,4 - 7,2,Female,Co-applicant,3,Savings agreement/life insurance,32,Bank,Rent,3,Unemployed,1,0,0,1
> 200,15,Delay in paying,Others,7105,> 1000,> 7,4,Female,Co-applicant,2,Savings agreement/life insurance,46,Stores,For free,2,Unskilled,2,1,1,1
< 0,42,All paid,Furniture/equipment,8513,500 - 1000,4 - 7,1,Male,No,1,Real estate,62,No,Rent,4,Skilled,1,0,1,1
No,69,Delay in paying,Others,14770,< 100,4 - 7,2,Male,Co-applicant,1,Unknown/None,60,No,Own,1,Skilled,1,1,0,1
> 200,16,Existing paid,Domestic appliances,12124,500 - 1000,< 1,3,Female,Guarantor,3,Car or other,66,No,For free,4,Highly skilled,2,1,1,1
< 0,49,Delay in paying,Vacation,14329,> 1000,> 7,4,Female,Guarantor,2,Savings agreement/life insurance,38,Stores,Rent,4,Unemployed,2,0,1,1
< 0,30,All paid,Vacation,17332,500 - 1000,4 - 7,2,Male,Co-applicant,4,Savings agreement/life insurance,32,Stores,Own,3,Highly skilled,2,0,0,1
No,20,All paid,Radio/television,7493,> 1000,4 - 7,1,Female,No,2,Real estate,31,No,Own,1,Skilled,2,0,1,0
0 - 200,63,No credits/all paid,Others,9268,Unknown/None,> 7,2,Female,Guarantor,4,Savings agreement/life insurance,59,Bank,Rent,4,Skilled,1,1,0,1
> 200,67,Critical account,Others,16982,< 100,> 7,4,Male,Guarantor,4,Savings agreement/life insurance,61,Bank,Own,1,Highly skilled,1,1,1,1
No,38,Delay in paying,Car (new),12350,Unknown/None,Unemployed,1,Female,No,1,Car or other,33,Stores,Own,2,Highly skilled,1,1,0,1
< 0,33,No credits/all paid,Car (new),16941,100 - 500,< 1,4,Female,Co-applicant,3,Unknown/None,32,Stores,For free,3,Skilled,2,0,1,1
